ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
JonesLa01 ,1967,Larry,Jones,west,A,1,28,14.0,10.0,3.0,13.0,2.0,nan,nan,3.0,3.0,10.0,6.0,3.0,2.0,0.0,0.0
JonesLa01 ,1968,Larry,Jones,west,A,1,25,14.0,5.0,0.0,5.0,9.0,nan,nan,2.0,3.0,9.0,4.0,8.0,5.0,1.0,1.0
JonesLa01 ,1969,Larry,Jones,west,A,1,36,30.0,nan,nan,6.0,5.0,nan,nan,nan,3.0,20.0,10.0,13.0,10.0,0.0,0.0
JonesLa01 ,1970,Larry,Jones,east,A,1,18,6.0,1.0,1.0,2.0,1.0,nan,nan,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0
JonesRi01 ,1972,Rich,Jones,west,A,1,14,0.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
JonesRi01 ,1973,Rich,Jones,west,A,1,19,4.0,4.0,4.0,8.0,2.0,0.0,1.0,1.0,4.0,11.0,2.0,0.0,0.0,1.0,0.0
JonesSa01 ,1967,Sam,Jones,east,N,1,15,5.0,nan,nan,2.0,4.0,nan,nan,nan,nan,5.0,2.0,1.0,1.0,nan,nan
JonesSa01 ,1965,Sam,Jones,east,N,1,22,12.0,nan,nan,2.0,5.0,nan,nan,nan,nan,11.0,5.0,2.0,2.0,nan,nan
JonesSa01 ,1964,Sam,Jones,east,N,1,24,6.0,nan,nan,5.0,3.0,nan,nan,nan,nan,12.0,2.0,2.0,2.0,nan,nan
JonesSa01 ,1963,Sam,Jones,east,N,1,27,16.0,nan,nan,4.0,3.0,nan,nan,nan,nan,20.0,8.0,0.0,0.0,nan,nan
